ticker,company,GICS_sector,GICS_sub_industry
COIN,Coinbase,DFS,Discover Financial
DASH,DoorDash,BWA,BorgWarner
TKO,TKO Group Holdings,TFX,Teleflex
WSM,"Williams-Sonoma, Inc.",CE,Celanese
EXE,Expand Energy,FMC,FMC Corporation
APO,Apollo Global Management,QRVO,Qorvo
WDAY,"Workday, Inc.",AMTM,Amentum
LII,Lennox International,CTLT,Catalent
TPL,Texas Pacific Land Corporation,MRO,Marathon Oil
,,BBWI,"Bath & Body Works, Inc."
AMTM,Amentum,,
PLTR,Palantir Technologies,AAL,American Airlines Group
DELL,Dell Technologies,ETSY,Etsy
ERIE,Erie Indemnity,BIO,Bio-Rad Laboratories
KKR,KKR,RHI,Robert Half
CRWD,CrowdStrike,CMA,Comerica
GDDY,GoDaddy,ILMN,"Illumina, Inc."
VST,Vistra,PXD,Pioneer Natural Resources
,,XRAY,Dentsply Sirona
,,VFC,VF Corporation
GEV,GE Vernova,,
SOLV,Solventum,,
SMCI,Supermicro,WHR,Whirlpool Corporation
DECK,Deckers Brands,ZION,Zions Bancorporation
UBER,Uber,SEE,Sealed Air
JBL,Jabil,ALK,Alaska Air Group
BLDR,Builders FirstSource,SEDG,SolarEdge
HUBB,Hubbell,OGN,Organon & Co.
LULU,Lululemon Athletica,ATVI,Activision Blizzard
,,DXC,DXC Technology
VLTO,Veralto,,
BX,Blackstone,LNC,Lincoln National Corporation
ABNB,Airbnb,NWL,Newell Brands
KVUE,Kenvue,AAP,Advance Auto Parts
PANW,Palo Alto Networks,DISH,Dish Network
AXON,Axon Enterprise,FRC,First Republic Bank
FICO,Fair Isaac,LUMN,Lumen Technologies
BG,Bunge Global,SBNY,Signature Bank
PODD,Insulet,SIVB,SVB Financial Group
,,VNO,Vornado Realty Trust
GEHC,GE HealthCare,,
STLD,Steel Dynamics,ABMD,Abiomed
FSLR,First Solar,FBHS,Fortune Brands Home & Security
,,MBC,MasterBrand
MBC,MasterBrand,,
ACGL,Arch Capital Group,TWTR,Twitter
TRGP,Targa Resources,NLSN,Nielsen Holdings
PCG,PG&E,CTXS,Citrix Systems
EQT,EQT Corporation,DRE,Duke Realty
CSGP,CoStar Group,PVH,PVH
INVH,Invitation Homes,PENN,Penn Entertainment
,,UA,Under Armour (Class C)
KDP,Keurig Dr Pepper,UAA,Under Armour (Class A)
ON,ON Semiconductor,IPGP,IPG Photonics
VICI,Vici Properties,CERN,Cerner
WBD,Warner Bros. Discovery,DISCA,"Discovery, Inc."
,,DISCK,"Discovery, Inc."
CPT,Camden Property Trust,PBCT,People's United Financial
MOH,Molina Healthcare,INFO,IHS Markit
NDSN,Nordson Corporation,XLNX,Xilinx
,,GPS,Gap
CEG,Constellation Energy,,
SBNY,Signature Bank,LEG,Leggett & Platt
SEDG,SolarEdge,HBI,Hanesbrands
FDS,FactSet,WU,Western Union
EPAM,EPAM Systems,KSU,Kansas City Southern
MTCH,Match Group,PRGO,Perrigo
CDAY,Ceridian,UNM,Unum
BRO,Brown & Brown,NOV,Nov
TECH,Bio-Techne,MXIM,Maxim Integrated
MRNA,Moderna,ALXN,Alexion Pharmaceuticals
,,HFC,HollyFrontier
OGN,Organon & Co.,,
CRL,Charles River Laboratories,FLIR,FLIR Systems
PTC,PTC,VAR,Varian Medical Systems
NXPI,NXP,FLS,Flowserve
PENN,Penn National Gaming,SLG,SL Green Realty
GNRC,Generac Holdings,XRX,Xerox
CZR,Caesars Entertainment,VNT,Vontier
MPWR,Monolithic Power Systems,FTI,TechnipFMC
TRMB,Trimble,CXO,Concho Resources
ENPH,Enphase Energy,TIF,Tiffany & Co
TSLA,Tesla,AIV,Apartment Investment & Management
,,NBL,Noble Energy
VNT,Vontier,,
POOL,Pool Corporation,ETFC,E-Trade
ETSY,Etsy,HRB,H&R Block
TER,Teradyne,COTY,Coty
CTLT,Catalent,KSS,Kohl's
BIO,Bio-Rad Laboratories,ADS,Alliance Data Systems
TDY,Teledyne,HOG,Harley-Davidson
TYL,Tyler Technologies,JWN,Nordstrom
WST,West Pharmaceutical Services,HP,Helmerich & Payne
DPZ,Domino's Pizza,CPRI,Capri Holdings
DXCM,Dexcom,AGN,Allergan
,,M,Macy's
,,RTN,Raytheon Company
OTIS,Otis Worldwide,,
CARR,Carrier,,
HWM,Howmet Aerospace,ARNC,Arconic
IR,Ingersoll Rand,XEC,Cimarex Energy
PAYC,Paycom,WCG,WellCare
LYV,Live Nation Entertainment,AMG,Affiliated Managers Group
ZBRA,Zebra Technologies,TRIP,TripAdvisor
STE,Steris,MAC,Macerich
ODFL,Old Dominion Freight Line,STI,SunTrust Banks
WRB,W. R. Berkley Corporation,VIAB,Viacom
NOW,ServiceNow,CELG,Celgene
LVS,Las Vegas Sands,NKTR,Nektar Therapeutics
NVR,NVR,JEF,Jefferies Financial Group
CDW,CDW Corporation,TSS,TSYS
LDOS,Leidos,APC,Anadarko Petroleum
IEX,IDEX Corporation,FL,Foot Locker
TMUS,T-Mobile US,RHT,Red Hat
MKTX,MarketAxess,LLL,L3 Technologies
AMCR,Amcor,BMS,Bemis
BMS,Bemis,MAT,Mattel
DD,DuPont,DWDP,DuPont
CTVA,Corteva,FLR,Fluor Corporation
DOW,Dow,BHF,Brighthouse Financial
FOXA,Fox Corporation,FOXA,21st Century Fox
FOX,Fox Corporation,FOX,21st Century Fox
WAB,Wabtec,GT,The Goodyear Tire & Rubber Company
ATO,Atmos Energy,NFX,Newfield Exploration
TFX,Teleflex,PCG,Pacific Gas & Electric Company
FRC,First Republic Bank,SCG,SCANA
CE,Celanese,ESRX,Express Scripts
LW,Lamb Weston,COL,Rockwell Collins
MXIM,Maxim Integrated,AET,Aetna
FANG,Diamondback Energy,SRCL,Stericycle
JKHY,Jack Henry & Associates,EQT,EQT Corporation
KEYS,Keysight,CA,CA Technologies
FTNT,Fortinet,EVHC,Envision Healthcare
ROL,Rollins,ANDV,Andeavor
WCG,WellCare,XL,XL Group
ANET,Arista Networks,GGP,GGP
CPRT,Copart,DPS,Dr Pepper Snapple Group
FLT,FleetCor Technologies,TWX,Time Warner
BR,Broadridge Financial Solutions,RRC,Range Resources
HFC,HollyFrontier,AYI,Acuity Brands
TWTR,Twitter,MON,Monsanto
EVRG,Evergy,NAVI,Navient
ABMD,Abiomed,WYN,Wyndham Worldwide
MSCI,MSCI,CSRA,CSRA
TTWO,Take-Two Interactive,SIG,Signet Jewelers
SIVB,SVB Financial Group,PDCO,Patterson Companies
NKTR,Nektar Therapeutics,CHK,Chesapeake Energy
IPGP,IPG Photonics,SNI,Scripps Networks Interactive
HII,Huntington Ingalls Industries,BCR,CR Bard
NCLH,Norwegian Cruise Line Holdings,LVLT,Level 3 Communications
CDNS,Cadence Design Systems,SPLS,Staples
DWDP,DuPont,DOW,Dow Chemical Company
SBAC,SBA Communications,DD,DuPont
Q,QuintilesIMS,WFM,Whole Foods Market
BHF,Brighthouse Financial,AN,AutoNation
DRE,Duke Realty Corp,RIG,Transocean
AOS,A. O. Smith,BBBY,Bed Bath & Beyond
PKG,Packaging Corporation of America,MUR,Murphy Oil
RMD,ResMed,MNK,Mallinckrodt
MGM,MGM Resorts International,RAI,Reynolds American
BKR,Baker Hughes,BHI,Baker Hughes
